アイテム名,力,魔力,体力,精神,素早さ,器用,撃力,守備力,耐性１,値(%除く),耐性２,値,耐性３,値,耐性４,値,耐性５,値,耐性６,値,耐性7,値,耐性8,値
硬いレポロ・パン,2,,5,,,,,,,,,,,,,,,,,,,,,
少し硬いレポロ・パン,3,,7,,,,,,,,,,,,,,,,,,,,,
レポロ・パン,3,,10,,,1,,,,,,,,,,,,,,,,,,
もっちりふわふわレポロ・パン,5,,15,,2,3,,,,,,,,,,,,,,,,,,
ボアの肉とトトの肉のレポロサンド,5,,17,3,5,3,,,,,,,,,,,,,,,,,,
カチカチパン,3,,5,,,3,3,3,,,,,,,,,,,,,,,,
レポロフィッシュの塩焼き,,,10,7,10,,,,,,,,,,,,,,,,,,,
オークの睾丸焼き,10,,20,,,,7,7,風,3,,,,,,,,,,,,,,
クルダ酒,,,,10,,25,,,,,,,,,,,,,,,,,,
レポロドスフイッシュの塩焼き,,,12,15,12,3,,,,,,,,,,,,,,,,,,
オーク肉の丸焼き,10,,20,,,,5,5,,,,,,,,,,,,,,,,
オーク肉とオークの睾丸のミートパスタ,15,,25,,,8,8,8,風,5,,,,,,,,,,,,,,
もちもちパン,,,10,5,,,,,,,,,,,,,,,,,,,,
自家製パン,5,,15,,5,5,,,,,,,,,,,,,,,,,,
魚の塩焼き,,,10,,3,,,,,,,,,,,,,,,,,,,
赤ワインと薬草で煮込んだアッバッキオ,,30,30,15,5,,10,10,物理,5,,,,,,,,,,,,,,
赤ワインと薬草で煮込んだシュラスコ,30,,25,15,5,,10,10,魔力,5,,,,,,,,,,,,,,
ピンクマーメイドを綺麗にした処理したブリデ,,,25,30,33,7,,,水,5,,,,,,,,,,,,,,
ベーコンサンド,4,4,10,15,,,,,,,,,,,,,,,,,,,,
ニンジンとビートルートのポトフ,15,,10,25,5,,10,10,風,5,,,,,,,,,,,,,,
ソルソロ産ポテトのさっぱりポテトサラダ,,10,5,,15,3,25,25,,,,,,,,,,,,,,,,
ホットコーヒー,,,30,,,,,,,,,,,,,,,,,,,,,
アイスコーヒー,,,,15,,,,,,,,,,,,,,,,,,,,
アイスティー,,,,,15,,,,,,,,,,,,,,,,,,,
抹茶ラテ,,15,,,,,,,,,,,,,,,,,,,,,,
ストロベリースムージー,20,,,,,,,,,,,,,,,,,,,,,,,
マンゴーパッション,,,,,20,,,,,,,,,,,,,,,,,,,
カツサンド,,,30,,,,,,,,,,,,,,,,,,,,,
アボカドベーコンサンド,,20,,,,5,,,,,,,,,,,,,,,,,,
チョコスコーン,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
チーズケーキ,,,,,,,,,物理,5,魔力,5,,,,,,,,,,,,
お通しサラダ,,,5,,,,,,,,,,,,,,,,,,,,,
ソルソロバーガー,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,
タバコ,15,,-15,,,,,,魔力,-15,,,,,,,,,,,,,,
ほくほくサプネラポテト,10,,30,,10,,,,光,5,,,,,,,,,,,,,,
おはようサンド,20,,,,20,,20,20,魔力,5,無,5,,,,,,,,,,,,
極上霜降りステーキ,40,,20,10,-15,,,,炎,5,,,,,,,,,,,,,,
スペシャル魚粉,,,,-15,25,,,,無,7,風,-5,光,4,,,,,,,,,,
生野菜スープ,10,,20,,,,,,無,5,炎,5,,,,,,,,,,,,
美味しい木の板,-5,-5,-5,20,-5,-5,-5,-5,,,,,,,,,,,,,,,,
ドロドロ,,,,-50,,,,,,,,,,,,,,,,,,,,
セシドフィッシュ,,,25,,,,,45,魔力,8,水,10,,,,,,,,,,,,
セシドエッグ,,,65,,,,,50,魔力,5,水,15,,,,,,,,,,,,
荒野串焼き,,,50,,,,,,物理,5,,,,,,,,,,,,,,